type,raw-type,words
속성,묘사,"추억, 글자, 위안, 절교, 진심, 존재, 인생, 드라마, 살인, 사실, 꿈속, 생일, 자리, 가방, 마스크, 도구, 휴지, 고향, 오아시스, 취향, 연락처, 인연, 번호, 약속, 축제, 새내기, 우여곡절, 고인, 명복, 수능, 엽떡, 면접, 알바, 돈, 인정, 노래방, 회사, 졸업, 클럽, 나이트, 취업, 심장, 무지개, 천재, 꼬리표, 우정, 한숨, 농담, 도전, 열정, 첫사랑, 이별, 사냥, 가슴앓이, 호흡, 숙제, 인사, 짝사랑, 허공, 아우성, 안부, 현실, 진상, 흔적, 예감, 랜덤, 염소, 고백, 수학여행, 발걸음, 전설, 학원, 집, 우상, 별명, 자습시간, 단골, 맥도날드, 광고, 컬러링, 폴더폰, 귓가, 결혼식, 진리, 활력소, 복학생, 금상청화, 극락, 문제, 인소, 유투브, 표지, 왼쪽, 오토바이, 급식, 빗자루, 남학생, 바보, 카페, 호프집, 첫인상, 투니버스, 만화, 엔딩, 기회, 대표, 외국어, 일본드라마, 반쪽, 욕, 배우, 자취방, 선풍기, 향수, 테라스, 타임머신, 사회인, 교육대학원, 레슨, 경계, 모순, 상충, 내면, 더위, 힐링, 교정기, 아이폰, 벨벳, 드라이브, 습관, 자전거, 무명, 인지도, 동아대, 포차, 맥주, 불꽃놀이, 휴가, 해수욕장, 호텔, 입학, 강아지, 등대, 미세먼지, 터미널, 여객선, 창문, 터널, 아날로그, 침대, 베란다, 영혼, 한일월드컵, 동화, 시, 소설, 악마, 아이돌, 장례식장, 백설공주, 마약, 꼬마, 훈련소, 조교, 숙취, 비련, 이불, 땀, 기교, 언덕, 정장, 괴물, 도토리, 목숨, 신천지, 수련회, 야구, 중계, 위문공연, 캐리어, 팬, 야자, 흑역사, 남중, 남고, 후유증, 테이프, 모티브, 여고생, 고속도로, 가로등, 펜스, 미술관, 통화, 전시회, 첫키스, 도서관, 공원, 열린음악회, 한국어, 뉘앙스, 삼각관계, 데이트, 장소, 하모니카, 배드민턴, 어장, 물고기, 맛집, 버스, 교관, 캠퍼스, PC방, 스테디셀러, 텐트, 캠핑, 불륜, 교실, 개학, 근황, 우유, 독서실, 그룹, 홍대, 청혼, 솜사탕, 간첩, TV, 기적, 보물, 등교, 개그맨, 버스킹, 유치원, 우연, 그대, 프로포즈, 우산, 창고, 깃발, 방언, 은행나무, 페이지, 기승전결, 명치, 궤도, 롤리팝, 치즈, 주식, 암, 돈키호테, 공무원, 짝꿍, 합격, 거짓, 변호사, 희생, 고래, 돌고래, 새우, 밍크고래, 코로나, 피디, 전환, 소녀, 환호, 노스텔지어, 가죽자켓, 학예회, 시계, 아이스크림, 미스터리, 영원, 에버랜드, 비행기, 셔츠
 에스컬레이터, 빚쟁이, 선거운동, 일제시대, 여객선, 물풍선, 고무줄, 섬유유연제, 봄꽃, 비포장도로, 병문안, 소음공해, 수묵화, 학살, 신바람, 나비, 햄토리, 하늘, 심호흡, 고층전망대, 청춘, 고시촌, 헛간, 뱃사공, 뇌물, 엘리베이터, 거리공연, 구조조정, 실직, 실업, 찻집, 쉐프, 폐렴, 폐허, 책방, 주택가, 외갓집, 강강수월래, 커피가게, 진공, 반딧불, 루돌프, 겨울, 크리스마스이브, 크리스마스, 솔로, 백합, 전학생, 하숙집, 겨울잠, 진돗개, 제사날, 주정뱅이, 벚꽃놀이, 수술실, 대가족, 문화재, 자동차극장, 파출소, 함박눈, 하루살이, 수료식, 연못, 카푸치노, 캡사이신, 조선소, 물줄기, 설원, 스타벅스, 숲, 제비꽃, 수채화, 시냇물, 징검다리, 대나무, 기왓집, 언덕길, 쪽잠, 배낭여행, 탐험, 기차역, 촬영현장, 올레길, 숨바꼭질 얼음땡, 다방구, 둘레길, 연주회, 주유소, 이자카야, 새해인사, 종이배, 고려시대, 공공장소, 흙, 평창올림픽, 우박, 중생대, 신생대, 비치발리볼, 축구장, 발렌타인데이, 보름달, 정월대보름, 벚나무, 프리지아, 새벽, 읍내, 비상구, 드라이브, 대학병원, 나이트클럽, 치통, 토크쇼, 별, 신문지, 하이파이브, 폭포, 메두사, 이발소, 헬기, 출판사, 벼농사, 사이렌, 파도풀, 트램폴린, 승강장, 영화제, 풍차, 조각배, 뱃길, 약수터, 아이스링크, 정거장, 풋볼, 핵폭탄, 열대우림, 층간소음, 로마시대, 통일전망대, 헬스장, 코리아타운, 여행, 허리케인, 고향길, 무중력, 펜트하우스, 수족관, 담벼락, 해적선, 스무고개, 고아원, 우물, 물소, 초승달, 유토피아, 녹색지대, 크루즈선, 타향살이, 한파, 일출, 욕실, 타워, 빙산, 치한, 눈물, 배, 육지, 부메랑, 투썸플레이스, 자갈길, 송년회, 친구, 오두막, 밤거리, 한의원, 잿더미, 쿠데타, 불가사리, 우주비행, 장애물, 사이비, 국경, 제삿날, 졸업여행, 관광, 광복절, 허니문, 유람선, 뒷골목, 할리스, 꽃놀이, 부엌, 장염, 공중전화, 납골당, 혼밥, 백색소음, 별장, 볼링장, 국밥집, 늦더위, 발코니, 유성우, 오물, 악취, 진공상태, 환갑잔치, 불나방, 잠꼬대, 실험실, 팬사인회, 정상회담, 재입대, 재개발, 벽난로, 웨딩, 전기장판, 일제강점기, 독립운동, 빙하시대, 광합성, 피크닉, 목장, 중세시대, 법당, 친선경기, 진실게임, 구석기시대, 관제탑, 단짝, 갈림길, 추모식, 삼일절, 현충일, 잠수함, 풀밭, 부친상, 패러글라이딩, 아이스하키, 쇼트트랙, 익스트림스포츠, 불사조, 초상집, 교차로, 히치하이킹, 헬리콥터, 핫케이크, 셜록홈즈, 한라봉, 가톨릭, 엉덩방아, 구역질, 야간비행, 세계대전, 폴라로이드, 부처, 하이킹, 초소, 폐업, 암살, 스웨터, 심리치료, 명상, 눈썹달, 산성비, 조선소, 개나리, 진달래, 항해, 물결, 사퇴, 난동, 화염, 취객, 징역, 수감, 인파, 애인, 웃음꽃, 꼭두새벽, 부뚜막, 북극성, 푸대접, 코스모스, 골프, 축하, 출발, 역도, 군대, 망원경, 망부석, 횃불, 아침, 점심, 단풍나무, 동백꽃, 파란만장, 텔레비전, 썰매, 참새, 전남편, 외숙모, 자업자득, 투명인간, 콧물, 보따리, 반달곰, 꼭대기, 건널목, 팬레터, 암호, 내리막, 취임식, 마천루, 눈싸움, 목격자, 대중교통, 나팔꽃, 시어머니, 조퇴, 건너편, 선인장, 우편물, 피겨스케이팅, 딸꾹질, 집착, 발각, 만개, 혼수상태, 출근시간, 영웅신화, 바둑, 난항, 시댁, 사진기, 뮤지컬영화, 백년손님, 약골, 속수무책, 골칫거리, 풍전등화, 파이팅, 춘추전국시대, 카펫, 모노레일, 질식, 초침, 보험, 전자공학, 스펀지밥, 일심동체, 국가고시, 원고지, 시장, 생물학, 담배, 커피잔, 잠, 각막, 장기매매, 장화홍련, 경조사, 만고불변, 실직자, 크리스천, 연애, 알러지, 터미네이터, 유대, 지배자, 뉴트리아, 천연기념물, 몽타주, 소름, 락스, 오골계, 전당포, 불화, 식목일, 이비인후과, 기차표, 협객, 불행, 심부름, 허기, 개인주의, 무제한, 새치기, 트렌치코트, 어렴풋, 근위병, 검찰, 백신, 영원불변, 건축학, 진행자, 무기징역, 악귀, 방망이, 정평, 애완동물, 영화감독, 대동맥, 방청객, 폭주기관차, 세로토닌, 부리나케, 보조개, 아나운서, 엔지니어, 초보자, 의료, 이야기, 지구대, 사막여우, 조명, 심령사진, 큰아버지, 기성세대, 심장병, 강촌, 악연, 교통카드, 축구공, 편지지, 글씨체, 후일담, 수탉, 이성애, 졸업생, 농구부, 침구, 그물, 팔짱, 떼거지, 바비인형, 재건축, 술래잡기, 모래알, 출세, 임플란트, 운세, 물고기, 고량주, 어리광, 인심, 맞은편, 도자기, 경험, 세탁기, 반려자, 알맹이, 목마름, 호러영화, 경영학, 교육학, 컴퓨터공학, 겨울, 개막식, 중학교, 적반하장, 대하드라마, 서약, 우체통, 운항, 승용차, 심근경색, 중환자실, 항공, 고지혈증, 맨홀, 방어기제, 수상소감, 나일론, 판타지영화, 평행이론, 유명인, 줄타기, 히키코모리, 폭등, 사슴, 조울증, 고인돌, 특효약, 멜빵, 해양, 기념품, 갓난아기, 지정석, 얼떨결, 경찰서, 동문, 식사, 열쇠, 흥부, 엄지손가락, 꽃신, 신기록, 글짓기, 경제, 장례, 심폐소생, 삼강오륜, 붕우유신, 기독교, 주기도문, 사도신경, 힌두교, 톱스타, 폐장, 계엄령, 묵념, 정신분열, 이열치열, 물구나무, 물난리, 말괄량이, 붕괴, 파벌, 폐기물, 방울뱀, 상술, 권선징악, 심리학자, 아프로디테, 희망고문, 격차, 뻐꾸기, 둥지, 약혼녀, 인신공격, 천차만별, 라임오렌지나무, 성악설, 곤충, 꼴뚜기, 중간지점, 폭격기, 팔굽혀펴기, 대걸레, 밀대, 중형차, 동남쪽, 수문, 폭탄머리, 사지절단, 회고록, 풍뎅이, 징글벨, 산타할아버지, 개밥그릇, 붕대, 룸메이트, 선전포고, 독재, 벙거지, 무역, 전용기, 박치기, 대형견, 리트리버, 골키퍼, 폭주족, 동서, 티익스프레스, 혈관, 전과자, 경제학, 만장일치, 외무고시, 꽁지머리, 월화드라마, 코브라, 유리컵, 애국자, 뻥튀기, 스티커사진, 늑대인간, 그림판, 솜방망이, 남녀평등, 영양가, 민주주의, 유니콘, 빛, 걸스카우트, 조강지처, 체육부, 청소기, 진공관, 유산균, 화폐, 해독제, 예술제, 각도기, 세무사, 쭈꾸미, 뭉탱이, 악당, 청소부, 세일러문, 난독, 비례, 포경수술, 뺑소니, 새끼손가락, 스프레이, 미러볼, 필수품, 착오, 남북분단, 도화선, 방탄헬멧, 카운트다운, 종합예술, 벼락치기, 나그네, 가마, 결승선, 사직서, 숙원, 파장, 각성제, 사무라이, 백상아리, 청상아리, 철조망, 고속, 저속, 농협, 탈덕, 중고차, 카메라맨, 회계사, 군락, 원자로, 흉기, 톨스토이, 탈북자, 민주공화국, 경찰차, 미국시민, 바디랭귀지, 아킬레스건, 치과의사, 키스마크, 봉변, 로스쿨, 행정고시, 임용고시, 보건복지부, 간접흡연, 수류탄, 혼인신고, 마지막, 게으름뱅이, 끈기, 얼간이, 목청, 지휘붕, 수출, 폭탄주, 로션, 선장, 두목, 희롱, 예언가, 사진작가, 요리사, 황소, 체육복, 와인잔, 월요병, 벌꿀, 난관, 대칭, 능구렁이, 다단계, 원수, 무신론자, 디지털, 언약, 장사꾼, 최전선, 디저트, 딱따구리, 양치질, 모니터링, 지팡이, 주름살, 아미타불, 포세이돈, 큐피트, 아폴론, 명품시계, 돌아이, 실업자, 식탁보, 비키니, 미꾸라지, 전자기기, 피부병, 사서함, 로맨스소설, 국정원, 필라테스, 건축물, 무장해제, 개똥벌레, 수의사, 해바라기씨, 후추, 평행선, 뉴스, 고추잠자리, 증명사진, 밤, 하이틴스타, 미국영화, 로맨틱코미디, 심슨가족, 엘리트, 나뭇가지, 검정고시, 감나무, 이중인격, 주객전도, 저혈압, 해바라기, 라디오, 시절, 온기, 위로, 전부, 길거리, 기억, 각인, 의자, 물, 직관, 역량, 마음, 초딩, 종결, 입문, 상징, 배우, 일상, 기도, 싸이월드, 파도타기, 명불허전, 중학생, 아픔, 혼자, 입, 작가
 아빠, 엄마, 부모님, 연인, 언니, 여성, 동반자, 아들, 딸, 전남친, 여친, 남편, 남자, 고딩, 남자친구, 아내, 선배, 선생님, 동년배, 오빠, 소꿉친구, 와이프, 가족, 후배, 너, 그대
 후반, 지난날, 엊그제, 계절, 금요일, 밤, 새벽, 학창시절, 여름, 평생, 세월, 겨울, 주말, 아침, 청춘, 초딩, 중딩, 과거, 밤, 일주일, 초여름, 세대, 중년, 전성기, 실시간, 초반, 중반, 리즈시절, 옛날, 마지막, 작년, 봄, 낮, 스무살, 올해, 성장기, 사춘기, 사계절, 처음, 입추, 토요일, 모레, 연말, 새해, 월요일, 저녁, 동틀녘, 성인, 어른, 초저녁, 성인, 한여름
 찬양, 폭풍, 모험, 실험, 휴식, 바닷가, 자동차, 대화, 엔진, 호숫가, 물방울, 각오, 신조, 군중, 다짐"
속성,묘사,"오순도순, 까불까불, 흐물흐물, 호락호락, 모락몝락, 샤방샤방, 올망졸망, 흐물흐물, 아릿아릿, 몰랑몰랑, 둥글둥글, 보들보들, 동글동글, 야들야들, 까끌까끌, 덕지덕지, 펄럭펄럭, 덜렁덜렁, 자박자박, 쩌렁쩌렁, 둥실둥실, 첨벙첨벙, 벌렁벌렁, 절레절레, 뽀득뽀득, 듬뿍, 부글부글, 보슬보슬, 울멍울멍, 조곤조곤, 너덜너덜, 더듬더듬, 아득바득, 물끄러미, 구깃구깃, 끄적끄적, 쉬엄쉬엄, 대충대충, 퍼뜩퍼뜩, 생글생글, 쭈뼛쭈뼛, 흐지부지, 새근새근, 파들파들, 송골송골, 옥신각신, 절뚝절뚝, 웅성웅성, 빙글뱅글, 꼬물꼬물, 싱글벙글, 바글바글, 꾸벅꾸벅, 고분고분, 싱숭생숭, 시들시들, 몽실몽실, 게슴츠레, 콩닥콩닥, 살살, 스르륵, 물밀듯이, 뚜벅뚜벅, 비스듬히, 타박타박, 뺑뺑, 또박또박, 비틀비틀, 찡긋, 피식, 반짝반짝, 두근두근, 들쭉들쭉, 새록새록, 둥둥, 탱탱, 쏙쏙, 아기자기, 빵빵, 끄덕, 꿈틀꿈틀, 중얼중얼, 줄줄, 솔솔"
속성,묘사,"벚꽃잎, 바다, 잎사귀, 모래, 첫눈, 싸락눈, 만년설, 산속, 강변, 호수, 하늘, 바위, 햇빛, 불꽃, 세상, 지평선, 풀, 산맥, 바람, 구름, 모래사장, 공기, 별빛, 파도, 천국, 태양, 노을, 번개, 우주, 장마, 먹구름, 벚꽃, 숲"
속성,묘사,"호젓하다, 썰렁하다, 오붓하다, 으스스하다, 냉랭하다, 무르익다, 살벌하다, 저돌적, 스산하다, 평화롭다, 비현실적, 오싹하다, 농염하다, 청량하다, 적적하다, 섹슈얼하다, 정겹다, 흥겹다, 쓸쓸하다, 로맨틱하다, 아련하다, 기이하다, 무미건조하다, 위태롭다, 고리타분하다, 심각하다, 야릇하다, 우중충하다, 막막하다, 야하다, 조약하다, 열성적, 서정적, 선선하다, 몽환, 로맨스, 환상적, 마법같다, 낭만적, 처연하다, 묘하다, 자유롭다, 경쾌하다, 삭막하다, 고요하다, 상쾌하다, 나른하다, 오묘하다, 극적, 구슬프다, 미묘하다, 평온하다, 공포, 희망적, 차분하다, 섬칫하다, 미련, 절절하다, 고독, 공허하다, 긍정적, 극단적, 역동적, 안정적, 감정적, 침착, 여유, 생동감, 생기, 가변적"
속성,묘사,"탭댄스, 브레이크댄스, 벨리댄스, 국민체조, 퍼포먼스, 멜빵춤, 댄스, 댄스배틀, 엉덩이춤, 춤판, 락킹, 비보잉, 살사, 봉춤, 전통무용, 곡예사, 왈츠, 오디션, 동작, 몸짓, 춤사위, 몸, 온몸"
속성,묘사,"멜로디, 코러스라인, 듀엣곡, 원곡, 리메이크곡, 인트로곡, 리믹스, 모음곡, 떼창, 스트리밍, 앨범차트, 편곡, 비발디, 음악차트, 벌스, 믹스테이프, 훅, 앨범, 중창, 믹싱, 딕션, 음표, 플레이리스트, 다단조, 음악세계, 턴테이블, 바이닐, OST, 곡, 이중창, 화성악, 음향사고, 노래, 뱅앤올룹슨, 정규음반, 성악가, 저작권, 악곡, 명곡, 가사, 타이틀, 보이스, 버전, 예약판매, 발매, 음원, 띵곡, 플레이어, CD, 곡명, 신곡, 재생, 뮤직비디오, 방송, 영상, 후렴구, 배경음악, 트랙, 작곡, 전주, 도입부, 펀치라인, 차트, 호소력, 선율, 장르, 가창, 작사, 이어폰, 완창, 노랫말, 바이브레이션, 정식음반, 보컬, 반주, 명반, 음향, 애창, 악보, 간주, 창법, 표절, 브릿지, 코드, 메들리, 클라이막스, 리스너, 가창력, 피쳐링, 성대, 에어팟, 버즈, 브금, 삽입곡, 프로듀싱, 플로우, 샘플링, 튜닝, 작업, 2중주, 공백, 세밀, 싱크, 미세, 포인트, 매칭, 패턴, 신호, 강조, 임팩트, 파트"
속성,묘사,"영화음악, 씨엠송, 락, 하모닉스, 랩, 캐롤, 힙그루브, 팝음악, 싱잉랩, 스윙재즈, 군가, 제이팝, 뉴트로팝, 캐논, 성가곡, 경음악, 종교음악, 흑인음악, 대학가요, 샹송, 터키행진곡, 뱃노래, 클래식, 컨트리음악, 일렉트로닉, 황조가, 발라드, 오케스트라, 축가, 실용음악, 자장가, 인디음악, 어쿠스틱, 응원가, 찬송가, 오페라"
속성,묘사,"우쿨렐레, 해금, 관현악, 케스터네츠, 단소, 리듬기타, 태평소, 타악기, 목관악기, 클래식기타, 신디사이저, 실로폰, 피아노, 마이크, 바이올린, 일렉기타, 드럼, 베이스, 콘트라베이스, 카세트, 리코더, 악기, 스피커, 우퍼, 디바이스, 북, 현악기, 관악기, 트럼펫, 심벌즈"
속성,묘사,"벅스뮤직, 음악실, 아이튠스, 가라오케, 스포티파이, 단독콘서트, 골든디스크, 락페스티벌, 콘서트, 가수, 밴드, 공연, 아티스트, 엠넷, 싱어송라이터, 뮤지션, 가요대전, 방송사, 대학가요제, 공연장"